"playlist_name","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","track.name","track.popularity","year"
"Pop",0.772,0.46,-8.982,0.0582,0.0456,0,0.0756,0.327,"Susanna Originally Performed By the Art Company - Tribute Version",24,2014
"Pop",0.801,0.9,-3.902,0.147,0.013,0.0927,0.064,0.834,"Rock It",61,2019
"Pop",0.789,0.752,-4.274,0.164,0.027,2.69e-05,0.394,0.739,"Alors On Danse - DubDogz Remix",69,2019
"Pop",0.625,0.831,-6.757,0.0541,0.00447,0.0624,0.0923,0.191,"The Power",60,2019
"Pop",0.687,0.707,-6.19,0.0328,0.0536,9.29e-05,0.16,0.607,"These Are The Times (feat. JRM)",63,2019
"Pop",0.802,0.645,-6.181,0.0715,0.272,0,0.119,0.376,"SOS",5,2019
"Pop",0.792,0.818,-8.563,0.0363,0.00446,0.724,0.0652,0.898,"Starry Night - Original Mix",48,2019
"Pop",0.804,0.645,-9.18,0.0541,0.044,0.857,0.242,0.0636,"A Rush Morning",33,2017
"Pop",0.546,0.931,-3.025,0.0507,0.0295,1.67e-05,0.366,0.527,"It's My Life",0,2010
"Pop",0.53,0.964,-2.571,0.0553,0.0528,4.84e-06,0.372,0.823,"You Give Love A Bad Name",2,2010
"Pop",0.546,0.931,-3.025,0.0507,0.0295,1.67e-05,0.366,0.527,"It's My Life",0,2010
"Pop",0.482,0.904,-4.815,0.0655,0.014,6.02e-06,0.0937,0.555,"Runaway",0,1994
"Pop",0.837,0.784,-4.531,0.101,0.175,0,0.0897,0.748,"No Me Acuerdo",72,2018
"Pop",0.699,0.917,-4.897,0.115,0.078,0,0.065,0.889,"Danza Kuduro",70,2010
"Pop",0.874,0.786,-5.723,0.186,0.114,0,0.108,0.688,"Ostia Lido",60,2019
"Pop",0.837,0.577,-5.854,0.168,0.0403,0,0.0721,0.73,"Playa",61,2019
"Pop",0.84,0.476,-7.918,0.0629,0.0264,0,0.0865,0.767,"We Belong Together",71,2005
"Pop",0.704,0.707,-6.537,0.0391,0.539,0.00106,0.318,0.761,"The Boy Is Mine",68,1998
"Pop",0.618,0.552,-6.863,0.0981,0.176,0,0.252,0.586,"So Gone",68,2003
"Pop",0.476,0.407,-9.239,0.0368,0.247,0,0.144,0.226,"Officially Missing You",60,2004
"Pop",0.681,0.667,-12.719,0.0388,0.0231,0.00414,0.0727,0.89,"I've Been Thinking About You",0,1995
"Pop",0.508,0.834,-6.205,0.0386,0.0183,0,0.0732,0.774,"Summer Of '69",82,1984
"Pop",0.845,0.326,-13.909,0.152,0.0134,4.04e-05,0.28,0.368,"No Woman, No Cry",61,1996
"Pop",0.774,0.456,-16.027,0.218,0.137,6.88e-05,0.109,0.642,"Nappy Heads - Remix",59,1994
"Pop",0.607,0.616,-8.924,0.218,0.0917,1.57e-05,0.0837,0.55,"Vocab - Refugees Hip Hop Remix",47,2003
"Pop",0.544,0.88,-4.917,0.218,0.0634,0.0159,0.394,0.491,"Giant (with Rag'n'Bone Man) - Robin Schulz Remix",60,2019
"Pop",0.807,0.887,-4.311,0.0361,0.016,0.000503,0.0811,0.606,"Giant (with Rag'n'Bone Man)",79,2019
